country,total_num_deaths,total_num_affected,total_cost
Afghanistan,20727.0,34232810.0,578320000.0
Africa,763690.0,653025490.0,42862993000.0
Albania,283.0,4376153.0,803573000.0
Algeria,7357.0,1544380.0,11808846000.0
American Samoa,130.0,22500.0,205000000.0
Angola,896.0,8609451.0,12000000.0
Anguilla,9.0,15150.0,235050000.0
Antigua and Barbuda,11.0,119600.0,792600000.0
Argentina,1213.0,14551022.0,15727410000.0
Armenia,5.0,420186.0,203275000.0
Asia,3669947.0,7022015386.0,1664274205000.0
Australia,2109.0,16409373.0,73274234000.0
Austria,560.0,72126.0,6739770000.0
Azerbaijan,68.0,2401744.0,211200000.0
Bahamas,414.0,54350.0,6745100000.0
Bangladesh,623524.0,453054829.0,21893565000.0
Barbados,5.0,5814.0,107200000.0
Belarus,61.0,203145.0,177680000.0
Belgium,4808.0,9425.0,4260132000.0
Belize,344.0,567955.0,627004000.0
Benin,249.0,5085018.0,8966000.0
Bermuda,4.0,0.0,353500000.0
Bhutan,273.0,86100.0,3500000.0
Bolivia,1842.0,9570461.0,3787718000.0
Bosnia and Herzegovina,48.0,1680471.0,821580000.0
Botswana,43.0,1527877.0,52050000.0
Brazil,10381.0,114000559.0,30472381000.0
British Virgin Islands,9.0,0.0,3002000000.0
Brunei,0,0,2000000
Bulgaria,206.0,76774.0,1466304000.0
Burkina Faso,185.0,15974219.0,181176000.0
Burundi,429.0,3283465.0,15000000.0
Cambodia,1773.0,23579728.0,1659110000.0
Cameroon,1995.0,1130097.0,3500000.0
Canada,1191.0,549410.0,37938012000.0
Cape Verde,45.0,192643.0,4100000.0
Cayman Islands,2.0,300.0,3496580000.0
Central African Republic,41.0,320301.0,125000.0
Chad,3448.0,14566600.0,94157000.0
Chile,9131.0,10677938.0,39410360000.0
China,460863.0,3210707908.0,618323613000.0
Colombia,31547.0,18097098.0,7225469000.0
Comoros,75.0,801129.0,47804000.0
Congo,226.0,429677.0,59000.0
Cook Islands,25.0,6238.0,25000000.0
Costa Rica,506.0,2486585.0,1387090000.0
Cote d'Ivoire,245.0,83080.0,0.0
Croatia,868.0,228357.0,13872150000.0
Cuba,2039.0,24251489.0,14863697000.0
Cyprus,70.0,4860.0,61440000.0
Czechia,598.0,1611550.0,6668012000.0
Czechoslovakia,24.0,600.0,16000000.0
Democratic Republic of Congo,1707.0,2457815.0,31200000.0
Denmark,27.0,0.0,5196639000.0
Djibouti,252.0,2421451.0,5719000.0
Dominica,140.0,188147.0,2223060000.0
Dominican Republic,3394.0,8456435.0,3119635000.0
East Germany,0.0,0.0,0.0
East Timor,49.0,286029.0,24000000.0
Ecuador,7708.0,4874759.0,5819245000.0
Egypt,1792.0,311755.0,1557000000.0
El Salvador,4104.0,4621931.0,6968810000.0
Eritrea,3.0,5607000.0,5165000.0
Estonia,11.0,100.0,130000000.0
Eswatini,567.0,3269825.0,55941000.0
Ethiopia,404750.0,112689883.0,2152176000.0
Europe,207150.0,41906964.0,466725134000.0
European Union (27),109400.0,20673277.0,371036532000.0
Fiji,426.0,2503138.0,1390853000.0
Finland,0.0,400.0,10000000.0
France,28592.0,4224796.0,51975700000.0
French Guiana,10.0,139.0,0.0
French Polynesia,31.0,13400.0,50000000.0
Gabon,1.0,91375.0,0.0
Gambia,101.0,1494894.0,700000.0
Georgia,76.0,897254.0,700856000.0
Germany,9918.0,575850.0,97889605000.0
Ghana,550.0,17292027.0,120300000.0
Greece,1969.0,1119852.0,13687659000.0
Grenada,45.0,61280.0,904500000.0
Guadeloupe,54.0,175500.0,695000000.0
Guam,18.0,11744.0,1121145000.0
Guatemala,27847.0,21241109.0,4839132000.0
Guinea,499.0,594516.0,8000000.0
Guinea-Bissau,12.0,203255.0,0.0
Guyana,34.0,1303248.0,678000000.0
Haiti,240803.0,17902577.0,12997936000.0
High-income countries,197721.0,187044082.0,2630963472000.0
Honduras,27047.0,12054998.0,5183879000.0
Hong Kong,1127.0,98873.0,1315943000.0
Hungary,1211.0,403700.0,1960400000.0
Iceland,51.0,5672.0,70989000.0
India,1705426.0,2443403018.0,145283486000.0
Indonesia,212551.0,34515733.0,34681238000.0
Iran,134700.0,59570281.0,30386696000.0
Iraq,191.0,8034455.0,125300000.0
Ireland,46.0,4900.0,678050000.0
Isle of Man,0,0,0
Israel,112.0,2081644.0,2082750000.0
Italy,30110.0,2074984.0,98031263000.0
Jamaica,285.0,2630681.0,2780122000.0
Japan,35383.0,11117118.0,540188500000.0
Jordan,376.0,351700.0,403400000.0
Kazakhstan,230.0,895076.0,285570000.0
Kenya,2448.0,63600769.0,869888000.0
Kiribati,3.0,86420.0,0.0
Kuwait,3.0,200.0,0.0
Kyrgyzstan,455.0,2225614.0,217760000.0
Laos,744.0,10627684.0,802729000.0
Latvia,92.0,0.0,325500000.0
Lebanon,69.0,1130942.0,165000000.0
Lesotho,67.0,4837265.0,1000000.0
Liberia,60.0,1053701.0,47000000.0
Libya,320.0,22000.0,54300000.0
Lithuania,104.0,780000.0,313573000.0
Low-income countries,747865.0,493179781.0,37401748000.0
Lower-middle-income countries,3415879.0,3829586077.0,397371076000.0
Luxembourg,170.0,1500.0,421000000.0
Macao,10.0,1200.0,1420000000.0
Madagascar,3417.0,17596453.0,2358301000.0
Malawi,1569.0,32817175.0,450489000.0
Malaysia,1004.0,4063624.0,3816142000.0
Maldives,102.0,17069.0,506100000.0
Mali,167.0,14038534.0,0.0
Marshall Islands,0.0,37670.0,4900000.0
Martinique,83.0,27900.0,693010000.0
Mauritania,102.0,13275392.0,61500000.0
Mauritius,82.0,1044988.0,803373000.0
Mexico,18597.0,19662294.0,55214415000.0
Micronesia (country),58.0,181100.0,17500000.0
Moldova,89.0,2880136.0,800184000.0
Mongolia,368.0,4966761.0,2001864000.0
Montenegro,1.0,12586.0,0.0
Montserrat,43.0,13200.0,268000000.0
Morocco,14305.0,3617739.0,2051159000.0
Mozambique,103987.0,41770080.0,3384750000.0
Myanmar,141913.0,9317634.0,4867413000.0
Namibia,264.0,3802553.0,195490000.0
Nepal,20548.0,17285584.0,6831555000.0
Netherlands,2810.0,265060.0,5484711000.0
Netherlands Antilles,13.0,40000.0,1050000000.0
New Caledonia,9.0,2000.0,43200000.0
New Zealand,286.0,662529.0,31117035000.0
Nicaragua,14682.0,5400914.0,3833952000.0
Niger,900.0,38142008.0,282039000.0
Nigeria,2993.0,17556153.0,1093525000.0
Niue,1.0,4400.0,40041000.0
North America,364920.0,236810815.0,1600966334000.0
North Korea,3013.0,49545354.0,23767950000.0
North Macedonia,69.0,1361005.0,409163000.0
North Yemen,1657.0,2450000.0,2022700000.0
Northern Mariana Islands,5.0,550.0,0.0
Norway,16.0,7750.0,693000000.0
Oceania,7749.0,26506754.0,109518239000.0
Oman,316.0,31440.0,5252000000.0
Pakistan,112350.0,122191371.0,29937969000.0
Palau,0.0,21488.0,0.0
Palestine,17.0,128521.0,0.0
Panama,394.0,384024.0,397550000.0
Papua New Guinea,3468.0,4604405.0,353003000.0
Paraguay,283.0,3978262.0,153557000.0
Peru,78791.0,20364391.0,6446250000.0
Philippines,62665.0,248715036.0,29744840000.0
Poland,2307.0,318939.0,8427050000.0
Portugal,4169.0,220717.0,7870036000.0
Puerto Rico,858.0,723840.0,72657800000.0
Qatar,0,1500,10000000
Reunion,74.0,18650.0,254000000.0
Romania,2953.0,1707131.0,6189918000.0
Russia,61607.0,4268048.0,11613996000.0
Rwanda,904.0,6247726.0,72009000.0
Saint Barthelemy,4,0,0
Saint Helena,0,300,0
Saint Kitts and Nevis,6.0,13380.0,704900000.0
Saint Lucia,45.0,301759.0,173245000.0
Saint Martin (French part),12,0,4100000000
Saint Vincent and the Grenadines,24.0,106561.0,511600000.0
Samoa,451.0,369977.0,816128000.0
Sao Tome and Principe,8.0,312668.0,0.0
Saudi Arabia,479.0,19079.0,1702000000.0
Senegal,291.0,10646908.0,447235000.0
Serbia,96.0,222412.0,2308522000.0
Serbia and Montenegro,21.0,115934.0,0.0
Seychelles,8.0,20120.0,41000000.0
Sierra Leone,1387.0,290592.0,33600000.0
Sint Maarten (Dutch part),4,5000,2500000000
Slovakia,204.0,57787.0,785600000.0
Slovenia,301.0,66650.0,752000000.0
Solomon Islands,547.0,525578.0,50000000.0
Somalia,43181.0,35430166.0,1175020000.0
South Africa,2490.0,34265347.0,10131070000.0
South America,172193.0,200231351.0,114341866000.0
South Korea,6779.0,6136213.0,18529257000.0
South Sudan,223.0,12872591.0,0.0
South Yemen,507.0,575000.0,1040200000.0
Spain,17253.0,6834319.0,34511220000.0
Sri Lanka,38839.0,27068220.0,4475364000.0
Sudan,151683.0,34717299.0,808200000.0
Suriname,5.0,55248.0,50000.0
Sweden,43.0,13500.0,3328800000.0
Switzerland,1316.0,9804.0,8179760000.0
Syria,139.0,8178700.0,44000000.0
Taiwan,5404.0,3555605.0,22323112000.0
Tajikistan,2060.0,6717476.0,1814384000.0
Tanzania,987.0,16544750.0,467790000.0
Thailand,14373.0,110961825.0,53193908000.0
Togo,83.0,1124630.0,700000.0
Tokelau,0.0,1700.0,2900000.0
Tonga,28.0,347439.0,350900000.0
Trinidad and Tobago,34.0,202960.0,64770000.0
Tunisia,985.0,661159.0,476800000.0
Turkey,34351.0,7974067.0,29101100000.0
Turkmenistan,11.0,300.0,99870000.0
Turks and Caicos Islands,4.0,2470.0,1000005000.0
Tuvalu,6.0,21317.0,0.0
USSR,26611.0,1654708.0,20692700000.0
Uganda,3892.0,6818532.0,80171000.0
Ukraine,1230.0,2863048.0,3835475000.0
United Arab Emirates,0,188,0
United Kingdom,4367.0,737815.0,37387180000.0
United States,21847.0,114541202.0,1347299380000.0
United States Virgin Islands,17.0,2000.0,1237800000.0
Upper-middle-income countries,764200.0,3665325166.0,897850598000.0
Uruguay,44.0,276741.0,867000000.0
Uzbekistan,64.0,721659.0,50000000.0
Vanuatu,142.0,668038.0,656400000.0
Venezuela,31204.0,2481485.0,3754426000.0
Vietnam,25059.0,93586552.0,23416066000.0
Wallis and Futuna,6.0,5750.0,0.0
West Germany,501.0,3500.0,3939000000.0
World,5185649.0,8180496760.0,3998688771000.0
Yemen,1358.0,1111482.0,1831500000.0
Yugoslavia,1359.0,830900.0,3939800000.0
Zambia,90.0,13051971.0,20900000.0
Zimbabwe,1255.0,26845538.0,1037700000.0
